Genre,Language,Nudity,Rating,Sex,Title,Violence,Release_Date,Production_Budget,Domestic_Gross,Worldwide_Gross,Release_Year,Release_Month
Action,Medium,Light,PG-13,None,Skyscraper,Medium,2018-07-13,125000000,31562840,71955649,2018,Jul
Animated,None,Light,PG,None,Hotel Transylvania 3: Summer Vacation,Light,2018-07-13,65000000,57597439,112373051,2018,Jul
Thriller,Heavy,Medium,R,Medium,The First Purge,Heavy,2018-07-04,13000000,52929930,76023230,2018,Jul
Science Fiction,Heavy,Light,PG-13,None,Ant-Man And The Wasp,Medium,2018-07-06,130000000,142156135,293129020,2018,Jul
Thriller,Heavy,None,R,None,Sicario: Day Of The Soldado,Heavy,2018-06-29,35000000,44370869,60095029,2018,Jun
Drama,Medium,None,PG-13,Medium,Hearts Beat Loud,None,2018-06-08,2000000,2113992,2113992,2018,Jun
Drama,Heavy,Light,R,Light,Gotti,Heavy,2018-06-15,10000000,4286367,4286367,2018,Jun
Science Fiction,Medium,None,PG-13,None,Jurassic World: Fallen Kingdom,Medium,2018-06-22,170000000,369030065,1139566100,2018,Jun
Comedy,Heavy,Light,R,Medium,Tag,Medium,2018-06-15,28000000,51810390,66904888,2018,Jun
Animated,Light,None,PG,None,Incredibles 2,Light,2018-06-15,200000000,541517471,862100621,2018,Jun
Thriller,Heavy,None,R,Light,Hotel Artemis,Heavy,2018-06-08,15000000,6699202,11577426,2018,Jun
Horror,Heavy,Medium,R,Light,Hereditary,Heavy,2018-06-08,10000000,43106695,66839326,2018,Jun
Comedy,Heavy,Heavy,R,Medium,Action Point,Heavy,2018-06-01,19000000,5059608,5059608,2018,Jun
Action,Medium,Medium,PG-13,Light,Adrift,Medium,2018-06-01,35000000,31227655,61316385,2018,Jun
Action,Heavy,Heavy,R,Medium,Deadpool 2,Heavy,2018-05-18,110000000,316474854,730848212,2018,May
Romance,Medium,None,PG-13,Light,Book Club,None,2018-05-18,10000000,67905549,78929603,2018,May
Thriller,Heavy,None,PG-13,Light,Breaking In,Medium,2018-05-11,6000000,46383120,49984637,2018,May
Science Fiction,Medium,Light,PG-13,Light,Avengers: Infinity War,Medium,2018-04-27,300000000,676245568,2019190029,2018,Apr
Comedy,Heavy,Light,PG-13,Light,I Feel Pretty,Light,2018-04-20,32000000,48795601,82608010,2018,Apr
Horror,Medium,Light,PG-13,None,King Kong,Heavy,2005-12-14,207000000,218080025,550517357,2005,Dec
Horror,Medium,Light,PG-13,None,King Kong,Heavy,1976-12-17,23000000,52614445,90614445,1976,Dec
Horror,Medium,Light,PG-13,None,King Kong,Heavy,1933-04-07,672000,10000000,10000650,1933,Apr
Drama,None,Light,PG-13,Light,Memoirs Of A Geisha,Light,2005-12-09,85000000,57010853,161510853,2005,Dec
Science Fiction,Heavy,None,PG-13,Light,Rampage,Medium,2018-04-13,120000000,99143797,424543797,2018,Apr
Action,None,None,R,Light,Rampage,Heavy,2018-04-13,120000000,99143797,424543797,2018,Apr
Comedy,Heavy,Heavy,Unknown,Heavy,Blockers,Light,2018-04-06,21000000,59839515,93075524,2018,Apr
Thriller,None,None,PG-13,None,A Quiet Place,Medium,2018-04-06,17000000,187643095,330249814,2018,Apr
Action,Heavy,Light,PG-13,Light,Ready Player One,Medium,2018-03-29,150000000,137018455,578621729,2018,Mar
Animated,None,Light,PG,None,Sherlock Gnomes,Light,2018-03-23,59000000,43242871,87502518,2018,Mar
Religious,None,None,PG-13,Light,"Paul, Apostle Of Christ",Medium,2018-03-23,5000000,17547999,23349190,2018,Mar
Science Fiction,Heavy,Light,PG-13,Light,Pacific Rim: Uprising,Medium,2018-03-23,155000000,59185715,289260123,2018,Mar
Drama,None,None,PG,None,I Can Only Imagine,Light,2018-03-16,7000000,83482352,85406476,2018,Mar
Romance,Heavy,Light,PG-13,Medium,"Love, Simon",None,2018-03-16,10000000,40826341,65526341,2018,Mar
Thriller,Heavy,None,PG-13,Light,The Hurricane Heist,Heavy,2018-03-09,40000000,6115824,15962212,2018,Mar
Thriller,Heavy,Heavy,R,Heavy,Red Sparrow,Heavy,2018-03-02,69000000,46874505,145951861,2018,Mar
Comedy,Heavy,Light,R,Medium,Game Night,Medium,2018-02-23,37000000,69001013,117201013,2018,Feb
Science Fiction,Heavy,Light,R,Medium,Annihilation,Heavy,2018-02-23,55000000,32732301,42872301,2018,Feb
Science Fiction,Light,Light,PG-13,None,Black Panther,Medium,2018-02-16,200000000,699903880,1346915573,2018,Feb
Drama,Medium,Light,Unknown,Light,The 33,Medium,2015-11-13,25000000,12227722,28400715,2015,Nov
Romance,Heavy,Medium,R,Heavy,Fifty Shades Freed,Medium,2018-02-09,55000000,100407760,370527704,2018,Feb
Drama,Heavy,Light,PG-13,Light,The 15:17 To Paris,Medium,2018-02-09,30000000,36250957,56096971,2018,Feb
Animated,None,Light,PG,None,Early Man,Light,2018-02-16,50000000,8267544,44145911,2018,Feb
Horror,Light,None,Unknown,Light,Winchester,Medium,2018-02-02,3500000,25091816,41254829,2018,Feb
Science Fiction,Heavy,None,PG-13,None,Maze Runner: The Death Cure,Medium,2018-01-26,61000000,58032443,265878841,2018,Jan
Fantasy,Medium,None,PG,None,Mighty Joe Young,Medium,1998-12-25,80000000,50632037,50632037,1998,Dec
Thriller,Heavy,Medium,R,Light,Den Of Thieves,Medium,2018-01-19,30000000,44947622,79424321,2018,Jan
Drama,Light,Light,PG,Light,Forever My Girl,None,2018-01-19,3500000,16376066,16376066,2018,Jan
Drama,Heavy,None,R,None,12 Strong,Medium,2018-01-19,35000000,45500164,70022961,2018,Jan
Fantasy,Heavy,Medium,Unknown,Light,Bright,Heavy,2017-12-22,90000000,0,0,2017,Dec
Comedy,Heavy,Light,R,Medium,Father Figures,Medium,2017-12-22,25000000,17501244,21038826,2017,Dec
Musical,Light,Light,PG,Light,The Greatest Showman,Light,2017-12-20,84000000,174312158,389980256,2017,Dec
Comedy,Medium,None,PG-13,Light,Pitch Perfect 3,Light,2017-12-22,45000000,104897530,185736412,2017,Dec
Animated,None,None,PG,None,Ferdinand,Light,2017-12-15,111000000,84410380,289889025,2017,Dec
Comedy,Heavy,None,PG-13,Light,Jumanji: Welcome To The Jungle,Medium,2017-12-20,90000000,404508916,962148204,2017,Dec
Drama,Heavy,None,PG-13,None,The Post,Medium,2017-12-22,50000000,81903458,177568086,2017,Dec
Comedy,Heavy,None,PG-13,Light,Just Getting Started,Light,2017-12-08,22000000,6069605,6756452,2017,Dec
Drama,Heavy,Light,R,Medium,"I, Tonya",Medium,2017-12-08,11000000,30014534,47533707,2017,Dec
Fantasy,Heavy,Heavy,R,Heavy,The Shape Of Water,Heavy,2017-12-01,19500000,63859435,189996290,2017,Dec
Comedy,Heavy,Heavy,R,Medium,Downsizing,Medium,2017-12-22,68000000,24449754,45140352,2017,Dec
Drama,Heavy,Heavy,R,Medium,Lady Bird,Light,2017-11-03,10000000,48958273,77016151,2017,Nov
Science Fiction,Medium,Light,PG-13,None,Justice League,Medium,2017-11-17,300000000,229024295,655953446,2017,Nov
Drama,Medium,None,PG-13,None,"Roman J. Israel, Esq.",Light,2017-11-17,22000000,11962712,12963235,2017,Nov
Comedy,Light,None,PG,None,Wonder,Light,2017-11-17,20000000,132422809,303675291,2017,Nov
Animated,None,Light,PG,Light,Coco,Medium,2017-11-22,175000000,209726015,800102441,2017,Nov
Animated,None,None,PG,None,The Star,Light,2017-11-17,20000000,40847995,62758010,2017,Nov
Drama,Heavy,None,R,Light,Lbj,Medium,2017-11-03,20000000,2468683,2507181,2017,Nov
Comedy,Heavy,Medium,R,Medium,A Bad Moms Christmas,Light,2017-11-01,28000000,72110659,127710659,2017,Nov
Comedy,Heavy,Medium,R,Medium,The Square,Medium,2010-04-09,1900000,406216,740932,2010,Apr
Drama,Heavy,Light,R,Medium,Thank You For Your Service,Heavy,2017-10-27,20000000,9479390,9718331,2017,Oct
Science Fiction,Medium,Light,PG-13,Light,Geostorm,Medium,2017-10-20,100000000,33700160,220800160,2017,Oct
Thriller,Medium,Medium,R,Light,The Snowman,Heavy,2017-10-20,35000000,6670765,43203413,2017,Oct
Science Fiction,Medium,Light,PG-13,Light,Thor: Ragnarok,Medium,2017-11-03,180000000,315058289,850650283,2017,Nov
Thriller,Heavy,Light,R,Light,The Foreigner,Heavy,2017-10-13,35000000,34393507,140783646,2017,Oct
Thriller,Heavy,None,PG-13,Light,Happy Death Day,Medium,2017-10-13,5000000,55683845,124967272,2017,Oct
Drama,Medium,Light,PG-13,Medium,Marshall,Medium,2017-10-13,12000000,10051659,10111433,2017,Oct
Science Fiction,Medium,Heavy,R,Medium,Blade Runner 2049,Heavy,2017-10-06,185000000,92054159,259356836,2017,Oct
Drama,Heavy,Light,R,Medium,American Made,Medium,2017-09-29,50000000,51342000,135542511,2017,Sep
Animated,Light,Light,PG,None,Lilo & Stitch,Light,2002-06-21,80000000,145771527,245800000,2002,Jun
Comedy,Medium,Light,PG-13,Medium,Home Again,Light,2017-09-08,15000000,27020284,37337061,2017,Sep
Comedy,Light,Light,PG-13,Medium,Battle Of The Sexes,None,2017-09-22,25000000,12638526,18396116,2017,Sep
Animated,Light,None,PG,None,The Lego Ninjago Movie,Medium,2017-09-22,70000000,59281555,122769776,2017,Sep
Drama,None,Medium,R,Heavy,Tulip Fever,None,2017-09-01,25000000,2455635,6104551,2017,Sep
Horror,Heavy,Light,R,Light,It,Heavy,2017-09-08,35000000,327481748,697459228,2017,Sep
Animated,None,None,PG,None,Hoodwinked,Light,2006-01-13,17500000,51386611,109843390,2006,Jan
Drama,Heavy,Medium,R,Medium,Patti Cake$,Light,2017-08-18,1000000,800148,1471090,2017,Aug
Comedy,Heavy,None,PG-13,None,Logan Lucky,Light,2017-08-18,29000000,27778642,43451152,2017,Aug
Science Fiction,Medium,None,PG-13,None,The Dark Tower,Medium,2017-08-04,60000000,50701325,113019314,2017,Aug
Thriller,Heavy,Medium,R,Heavy,Atomic Blonde,Heavy,2017-07-28,30000000,51573925,98351438,2017,Jul
Animated,Light,None,PG,None,The Emoji Movie,Light,2017-07-28,50000000,86089513,216797089,2017,Jul
Horror,Heavy,Light,PG-13,Light,Wish Upon,Heavy,2017-07-14,12000000,14301505,23477345,2017,Jul
Comedy,Heavy,Heavy,R,Medium,Girls Trip,Light,2017-07-21,28000000,115108515,140886353,2017,Jul
Drama,None,None,PG,None,All Saints,None,2017-08-25,2000000,5802208,5941994,2017,Aug
Science Fiction,Light,Light,PG-13,Light,Valerian And The City Of A Thousand Planets,Medium,2017-07-21,180000000,40479370,215102741,2017,Jul
Comedy,Heavy,Medium,R,Light,The House,Heavy,2017-06-30,40000000,25584504,31192743,2017,Jun
Animated,None,None,PG,None,Despicable Me 3,Medium,2017-06-30,75000000,264624300,1034530156,2017,Jun
Science Fiction,Light,None,PG-13,None,War For The Planet Of The Apes,Medium,2017-07-14,152000000,146880162,489592267,2017,Jul
Thriller,Heavy,None,R,None,Baby Driver,Heavy,2017-06-28,34000000,107825862,228104185,2017,Jun
Drama,Light,None,Unknown,Light,The Apostle,Medium,1997-12-17,5000000,20733485,21277770,1997,Dec
Romance,Heavy,None,R,Light,The Big Sick,None,2017-06-23,5000000,42872467,53005355,2017,Jun
Drama,Heavy,Medium,R,Medium,All Eyez On Me,Medium,2017-06-16,45000000,44922302,54876855,2017,Jun
Comedy,Heavy,Medium,R,Medium,Rough Night,Medium,2017-06-16,20000000,22105643,46844357,2017,Jun
Animated,None,None,G,None,Cars 3,Light,2017-06-16,175000000,152901115,383556369,2017,Jun
Horror,Medium,Light,R,Light,It Comes At Night,Heavy,2017-06-09,5000000,13985117,19720203,2017,Jun
Fantasy,Light,Light,PG-13,Light,Wonder Woman,Medium,2017-06-02,150000000,412563408,821563408,2017,Jun
